model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
Ridge,6.26,9.68,4.415,4.342,0.9463,0.226,0.15,2,all,115,33984,2920,ridge
Ridge,4.187,5.3,3.035,3.004,0.9871,0.292,0.2,3,all,115,36904,2920,ridge
Ridge,3.869,4.994,2.825,2.811,0.9867,0.328,0.18,4,all,115,39824,2920,ridge
Ridge,6.707,10.678,4.474,4.332,0.9443,0.262,0.19,5,all,115,42744,2920,ridge
Ridge,4.287,5.603,3.005,2.954,0.9911,0.289,0.21,6,all,115,45664,2920,ridge
Ridge,4.145,5.309,2.912,2.89,0.9868,0.335,0.22,7,all,115,48584,2920,ridge
Ridge,5.816,8.546,3.892,3.827,0.9654,0.208,0.24,8,all,115,51504,2920,ridge
Ridge,4.136,5.377,2.921,2.873,0.9912,0.306,0.24,9,all,115,54424,2920,ridge
Ridge,4.853,7.544,5.171,4.323,0.9734,0.378,0.24,10,all,115,57344,2920,ridge
Ridge,30.122,39.853,18.675,19.321,0.1063,2.286,0.01,1,calendar_only,8,31064,2920,ridge
Ridge,34.908,44.802,23.684,23.747,-0.1507,1.262,0.01,2,calendar_only,8,33984,2920,ridge
Ridge,32.344,40.404,22.574,22.037,0.2509,2.252,0.02,3,calendar_only,8,36904,2920,ridge
Ridge,30.034,39.724,20.615,20.081,0.1609,2.547,0.02,4,calendar_only,8,39824,2920,ridge
Ridge,40.83,50.66,25.041,26.227,-0.2526,1.594,0.02,5,calendar_only,8,42744,2920,ridge
Ridge,43.847,55.548,27.374,27.706,0.123,2.951,0.02,6,calendar_only,8,45664,2920,ridge
Ridge,31.864,42.402,20.134,20.327,0.1557,2.573,0.03,7,calendar_only,8,48584,2920,ridge
Ridge,40.991,50.687,25.193,26.046,-0.2186,1.464,0.02,8,calendar_only,8,51504,2920,ridge
Ridge,41.424,51.818,27.044,26.708,0.1795,3.061,0.02,9,calendar_only,8,54424,2920,ridge
Ridge,35.704,44.114,30.79,25.251,0.0913,2.783,0.04,10,calendar_only,8,57344,2920,ridge
Ridge,5.47,7.416,3.567,3.573,0.9691,0.415,0.02,1,lag_only,7,31064,2920,ridge
Ridge,11.804,21.354,8.017,7.816,0.7386,0.427,0.01,2,lag_only,7,33984,2920,ridge
Ridge,5.821,7.394,4.121,4.114,0.9749,0.405,0.02,3,lag_only,7,36904,2920,ridge
Ridge,4.928,6.517,3.429,3.42,0.9774,0.418,0.02,4,lag_only,7,39824,2920,ridge
Ridge,13.001,26.582,8.275,7.933,0.6551,0.508,0.02,5,lag_only,7,42744,2920,ridge
Ridge,6.511,8.36,4.3,4.293,0.9801,0.438,0.0,6,lag_only,7,45664,2920,ridge
Ridge,5.417,7.112,3.602,3.6,0.9763,0.437,0.0,7,lag_only,7,48584,2920,ridge
